date,median,mean,count,
8/8/2024,3.524705882,3.932364566,664,
8/9/2024,3.508144018,3.958194232,838,
8/10/2024,3.561346943,4.026271091,338,
8/11/2024,3.536067893,4.050607596,331,
8/12/2024,3.51680791,4.004350303,662,
8/13/2024,3.58974359,4.100677518,720,
8/14/2024,3.548304356,4.029052432,930,
8/15/2024,3.572380952,4.051185046,920,
8/16/2024,3.3,3.65035234,249,
8/17/2024,3.333333333,3.756935215,157,
8/18/2024,3.5,3.941270473,189,
8/19/2024,3.5,4.065499426,368,
8/20/2024,3.626558957,4.015643624,458,
8/21/2024,3.5,4.032613044,537,
8/22/2024,3.614285714,4.187981337,406,
8/23/2024,3.4375,3.832088361,403,
8/24/2024,3.448275862,3.833499411,361,
8/25/2024,3.4,3.895477855,390,
8/26/2024,3.5,3.947759972,892,
8/27/2024,3.5,3.987723477,821,
8/28/2024,3.504780222,4.109361847,848,
8/29/2024,3.56904444,4.06547782,688,
8/30/2024,3.553027325,4.0298993,344,
8/31/2024,3.5,3.864801075,446,
9/1/2024,3.62952381,4.37889573,256,
9/2/2024,3.8,4.235527369,861,
9/3/2024,3.505376344,4.020691651,947,
9/4/2024,3.6,4.088678392,513,
9/5/2024,3.6,4.072120859,585,
9/6/2024,3.5,4.037434344,643,
9/7/2024,3.474465664,3.896474838,188,
9/8/2024,3.505757066,4.040594101,226,
9/9/2024,3.58974359,4.016714152,558,
9/10/2024,3.6,4.191640208,493,
9/11/2024,3.6,4.182753549,472,
9/12/2024,3.70675453,4.214004842,507,
9/13/2024,3.738938053,4.406730652,395,
9/14/2024,3.5,3.837803822,377,
9/15/2024,3.735707626,4.404869465,258,
9/16/2024,3.72717881,4.271676645,972,
9/17/2024,3.6,4.072881631,963,
9/18/2024,3.6,4.221223755,1103,
9/19/2024,3.680100481,4.292748601,706,
9/20/2024,3.611111111,4.184194225,609,
9/21/2024,3.564483482,3.886763686,120,
9/22/2024,3.40002553,4.084860221,168,
9/23/2024,3.6,4.168628144,401,
9/24/2024,3.6,3.957979448,470,
9/25/2024,3.7,4.212183458,477,
9/26/2024,3.799959465,4.297693827,470,
9/27/2024,3.599979305,4.139758113,520,
9/28/2024,3.5,3.934749862,310,
9/29/2024,3.5,4.025340848,244,
9/30/2024,3.75,4.313921311,951,
10/1/2024,3.506493506,4.378956856,113,
10/2/2024,3.720930233,4.351061278,955,
10/3/2024,3.605477552,4.085102247,657,
10/4/2024,3.654352871,4.198945384,698,
10/5/2024,3.576642336,4.027721127,579,
10/6/2024,3.711447987,4.308600363,477,
10/7/2024,3.7,4.255727479,1326,
10/8/2024,3.731294052,4.220999248,1058,
10/9/2024,3.628447025,4.203005112,971,
10/10/2024,3.662940765,4.296198389,1028,
10/11/2024,3.775280899,4.30497906,669,
10/12/2024,3.682408875,4.201324441,534,
10/13/2024,3.602882306,4.058140338,533,
10/14/2024,3.749976657,4.245343302,1298,
10/15/2024,3.622200584,4.161967182,967,
10/16/2024,3.716420925,4.274250621,1040,
10/17/2024,3.795507359,4.362920933,731,
10/18/2024,3.666666667,4.25362206,835,
10/19/2024,3.623997624,4.218194809,620,
10/20/2024,3.775322284,4.382582574,601,
10/21/2024,3.781666667,4.368750557,1383,
10/22/2024,3.818181818,4.396335737,1065,
10/23/2024,3.69047619,4.2223005,941,
10/24/2024,3.855176933,4.437877631,1034,
10/25/2024,3.799977373,4.369989435,829,
10/26/2024,3.7,4.336854957,595,
10/27/2024,3.808718563,4.409351924,598,
10/28/2024,3.799988687,4.388627671,1262,
10/29/2024,3.79526682,4.410162113,1006,
10/30/2024,3.761203585,4.305725104,971,
10/31/2024,3.800393185,4.372999566,944,
11/1/2024,3.738317757,4.302683665,863,
11/2/2024,3.8,4.385490155,671,
11/3/2024,3.898273622,4.39488003,607,
11/4/2024,3.9,4.449892227,1236,
11/5/2024,3.811904762,4.382968386,1172,
11/6/2024,3.918918919,4.433342601,1007,
11/7/2024,3.84341637,4.338855225,936,
11/8/2024,3.898488242,4.403974452,968,
11/9/2024,3.75,4.313788112,671,
11/10/2024,3.75,4.31109584,505,
11/11/2024,3.900380297,4.451655825,1460,
11/12/2024,3.734374064,4.266614117,1048,
11/13/2024,3.856749311,4.394522193,1080,
11/14/2024,3.693548387,4.278601235,886,
11/15/2024,3.8,4.318485238,1014,
11/16/2024,3.837121212,4.350588005,748,
11/17/2024,3.770604396,4.413795238,496,
11/18/2024,3.90424603,4.462582848,1382,
11/19/2024,3.835701647,4.396981834,1014,
11/20/2024,3.866317169,4.440001039,1113,
11/21/2024,3.799977373,4.369376866,981,
11/22/2024,3.8,4.31087976,912,
11/23/2024,3.7,4.307942866,691,
11/24/2024,3.799971027,4.158023389,464,
11/25/2024,3.9,4.569973714,1264,
11/26/2024,4,4.576162332,772,
11/27/2024,3.8,4.402384002,1039,
11/28/2024,3.799576143,4.316699875,913,
11/29/2024,3.8,4.396338612,867,
